Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
APSRTC - 9655,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,05:05,07h 55m,INR 412,15 Seats available,"3.7
27",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4996,INDRA(A.C. Seater),21:15,04:15,07h 00m,INR 528,15 Seats available,"3.7
17",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4821,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:15,04:30,07h 15m,INR 517,9 Seats available,"4.1
23",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3618,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:25,05:30,08h 05m,INR 436,26 Seats available,"4.5
66",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4340,INDRA(A.C. Seater),21:30,05:00,07h 30m,INR 528,21 Seats available,"4.0
11",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4043,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,04:25,06h 55m,INR 412,4 Seats available,"3.7
69",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 9652,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,04:50,07h 20m,INR 412,19 Seats available,"3.1
27",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3691,INDRA(A.C. Seater),21:30,04:30,07h 00m,INR 528,8 Seats available,"3.7
31",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3944,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,04:45,07h 15m,INR 436,7 Seats available,"3.9
30",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4789,STAR LINER(NON-AC SLEEPER 2+1),21:30,04:30,07h 00m,INR 565,4 Seats available,"4.7
36",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4355,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,05:15,07h 45m,INR 436,16 Seats available,"4.3
24",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3693,NIGHT RIDER (SEATER CUM SLEEPER),21:45,05:00,07h 15m,INR 639,20 Seats available,"4.2
86",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35136,INDRA(A.C. Seater),21:45,04:00,06h 15m,INR 500,22 Seats available,"3.7
100",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3570,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),21:45,03:49,06h 04m,INR 633,23 Seats available,"3.9
46",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4815,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:15,06h 30m,INR 436,3 Seats available,"4.8
13",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3695,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:55,05:20,07h 25m,INR 436,8 Seats available,"4.3
21",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 9365,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:55,05:00,07h 05m,INR 469,18 Seats available,"3.6
42",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35120,INDRA(A.C. Seater),22:00,05:05,07h 05m,INR 528,32 Seats available,"3.7
87",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3952,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,05:15,07h 15m,INR 436,3 Seats available,"3.8
45",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4791,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,05:00,07h 00m,INR 720,27 Seats available,"4.0
45",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3917,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,04:45,06h 45m,INR 412,15 Seats available,"3.9
105",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3839,VENNELA (A.C. SLEEPER),22:10,04:35,06h 25m,INR 737,10 Seats available,"3.4
30",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:10,05:10,07h 00m,INR 436,13 Seats available,"4.0
21",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4049,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:15,05:35,07h 20m,INR 412,3 Seats available,"4.3
59",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3582,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,04:30,06h 15m,INR 635,34 Seats available,"4.2
166",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4371,INDRA(A.C. Seater),22:20,05:15,06h 55m,INR 567,33 Seats available,"3.3
5",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 9935,STAR LINER(NON-AC SLEEPER 2+1),22:30,05:25,06h 55m,INR 565,11 Seats available,"4.2
59",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3568,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:30,04:35,06h 05m,INR 633,42 Seats available,"3.9
68",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3560,INDRA(A.C. Seater),22:30,03:45,05h 15m,INR 528,10 Seats available,"4.4
79",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3557,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,04:35,06h 05m,INR 633,29 Seats available,"3.6
83",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 1445,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:30,07h 00m,INR 414,18 Seats available,"4.3
75",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3542,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:50,07h 20m,INR 469,20 Seats available,"3.8
68",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3909,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05:35,07h 05m,INR 412,17 Seats available,"3.8
53",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35106,VENNELA (A.C. SLEEPER),22:40,04:05,05h 25m,INR 737,1 Seat available,"4.4
28",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3516,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,06:05,07h 20m,INR 469,21 Seats available,"3.2
14",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3279,VENNELA (A.C. SLEEPER),22:45,05:10,06h 25m,INR 737,12 Seats available,"4.0
133",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3514,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:50,06:20,07h 30m,INR 469,26 Seats available,"3.4
105",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3826,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:50,05:40,06h 50m,INR 436,27 Seats available,"3.5
26",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3502,VENNELA (A.C. SLEEPER),23:10,05:35,06h 25m,INR 737,14 Seats available,"3.7
56",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3510,STAR LINER(NON-AC SLEEPER 2+1),23:15,05:25,06h 10m,INR 534,18 Seats available,"4.1
62",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4037,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,06:10,06h 55m,INR 412,22 Seats available,"3.5
123",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3658,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:30,05:05,05h 35m,INR 633,16 Seats available,"3.6
74",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35270,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:45,05:05,05h 20m,INR 670,32 Seats available,"4.1
127",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3887,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:55,05:40,05h 45m,INR 633,42 Seats available,"4.1
47",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:30,05:55,07h 25m,500,16 Seats available,"4.6
427",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:10,06:30,07h 20m,525,19 Seats available,"4.6
422",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,05:20,07h 25m,INR 529,12 Seats available,"4.4
583",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,04:10,06h 20m,INR 449,10 Seats available,"4.1
28",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Svkdt travels,A/C Sleeper (2+1),22:20,05:50,07h 30m,INR 589,12 Seats available,"4.4
497",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:15,06:25,07h 10m,INR 399,17 Seats available,"4.4
318",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,06:05,07h 15m,517,15 Seats available,"4.3
533",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
