Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,495,53 Seats available,"3.5
48",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,INR 450,22 Seats available,"3.4
19",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,INR 500,3 Seats available,"2.0
6",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,INR 350,51 Seats available,"2.8
10",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,INR 230,27 Seats available,"3.7
11",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,495,53 Seats available,3.0,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,495,54 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,INR 500,3 Seats available,"1.2
4",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,02:00,05h 30m,INR 285,24 Seats available,"2.3
14",https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,05:31,07h 36m,495,40 Seats available,"2.5
10",https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,INR 500,8 Seats available,"2.0
12",https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,1614,24 Seats available,"3.2
7",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),19:00,11:49,16h 49m,INR 1199,6 Seats available,"1.2
12",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,14:30,18h 30m,1709,47 Seats available,1.3,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,07:00,08h 20m,INR 450,22 Seats available,"2.2
10",https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,06:00,09h 32m,INR 500,3 Seats available,"1.7
11",https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar)
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,06:30,09h 05m,INR 468,9 Seats available,"3.5
83",https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Sri Krishna Rath,A/C Seater / Sleeper (2+2),21:30,06:35,09h 05m,700,41 Seats available,"1.0
4",https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:00,05:05,09h 05m,656,20 Seats available,1.5,https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:30,05:35,09h 05m,INR 850,23 Seats available, ,https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,05:40,08h 15m,INR 468,9 Seats available,"3.6
65",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),21:25,06:20,08h 55m,739,3 Seats available,"4.2
214",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,06:35,08h 25m,1109,2 Seats available,"4.1
118",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Divya Rath,A/C Sleeper (2+1),20:45,05:45,09h 00m,INR 700,1 Seat available,"4.4
145",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Raj Bus Services,A/C Seater / Sleeper (2+1),19:25,05:05,09h 40m,463,4 Seats available,"4.3
8",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Shatabdi Travels,A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,INR 600,6 Seats available,"3.1
31",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Maa Satyabhama Rath,A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,INR 600,7 Seats available,"3.8
20",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+1),20:25,05:15,08h 50m,INR 650,4 Seats available,3.2,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+2),20:30,05:20,08h 50m,INR 600,1 Seat available,3.2,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Mahuli Travels,A/C Seater/Sleeper (2+1),20:50,05:50,09h 00m,INR 500,30 Seats available,3.7,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Raj Bus Services,Bharat Benz A/C Seater /Sleeper (2+1),20:35,05:35,09h 00m,463,2 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Shri Sai Krishna Luxury,A/C Seater / Sleeper (2+1),21:15,06:15,09h 00m,INR 600,18 Seats available,"2.2
21",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Shivam Travels,NON A/C Seater / Sleeper (2+2),21:00,06:30,09h 30m,INR 450,38 Seats available,"1.1
5",https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:00,05:15,09h 15m,481,10 Seats available,2.1,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Raj Rath,A/C Seater / Sleeper (2+2),20:30,05:15,08h 45m,INR 500,6 Seats available,2.4,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
