Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
Ashray Vip Yellows,A/C Sleeper (2+1),19:30,08:00,12h 30m,INR 900,11 Seats available,"4.2
464",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 1020,13 Seats available,"4.2
301",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:20,10:00,12h 40m,INR 1100,12 Seats available,"4.2
507",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),19:30,07:55,12h 25m,INR 1001,10 Seats available,"4.1
294",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),20:00,08:30,12h 30m,INR 900,6 Seats available,"4.2
678",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,A/C Sleeper (2+1),20:15,07:00,10h 45m,INR 910,9 Seats available,"4.3
284",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),22:30,10:20,11h 50m,630,9 Seats available,"4.4
470",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),20:30,09:35,13h 05m,INR 900,9 Seats available,"4.3
234",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,AC Sleeper (2+1),21:30,09:20,11h 50m,900,8 Seats available,"4.1
367",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:00,12h 30m,INR 900,8 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),19:25,07:30,12h 05m,INR 900,3 Seats available,"4.7
670",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),20:20,09:30,13h 10m,INR 900,8 Seats available,"4.5
524",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,A/C Sleeper (2+1),19:25,07:25,12h 00m,INR 901,11 Seats available,"4.0
21",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Sangitam Travels Tanzanite,A/C Sleeper (2+1),19:25,06:45,11h 20m,INR 905,10 Seats available,"4.3
658",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),19:25,07:10,11h 45m,INR 909,5 Seats available,"4.2
439",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:15,09:35,12h 20m,INR 900,6 Seats available,"4.2
376",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:40,10:15,11h 35m,INR 1000,7 Seats available,"4.4
340",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:00,08:45,11h 45m,INR 1009,7 Seats available,"4.1
273",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:45,07:55,12h 10m,INR 1052,1 Seat available,"4.5
560",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),20:00,07:30,11h 30m,INR 1019,1 Seat available,"4.4
61",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Indumati Travels,A/C Sleeper (2+1),20:25,08:30,12h 05m,903,7 Seats available,"4.2
373",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:25,07:15,11h 50m,INR 500,2 Seats available,"4.1
289",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray National Express,NON A/C Sleeper (2+1),19:30,06:45,11h 15m,INR 800,1 Seat available,"4.4
328",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,NON A/C Sleeper (2+1),19:30,06:15,10h 45m,INR 799,1 Seat available,"4.1
362",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),21:55,08:45,10h 50m,INR 1009,8 Seats available,"4.3
102",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:00,08:45,11h 45m,INR 1220,13 Seats available,"3.2
124",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels (Manish),Non AC Seater (2+2),19:55,07:30,11h 35m,INR 501,15 Seats available,"3.0
144",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:55,09:30,12h 35m,INR 1220,12 Seats available,"3.7
102",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:01,12h 31m,INR 900,8 Seats available,"3.7
320",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin travel house,A/C Sleeper (2+1),23:20,10:45,11h 25m,INR 919,16 Seats available,"3.7
60",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 950,6 Seats available,"3.5
286",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Prime,A/C Sleeper (2+1),19:30,07:30,12h 00m,INR 900,11 Seats available,"3.8
262",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),19:25,08:45,13h 20m,INR 700,5 Seats available,"3.2
179",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Abhishek Vishal Travels,A/C Sleeper (2+1),21:35,08:40,11h 05m,INR 900,3 Seats available,"3.6
21",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,A/C Sleeper (2+1),19:25,08:10,12h 45m,INR 901,11 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Abhishek Vishal Travels,NON A/C Push Back (2+2),20:25,07:10,10h 45m,INR 1000,9 Seats available,"3.0
65",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:50,07:00,11h 10m,INR 500,4 Seats available,"3.2
113",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Abhishek Vishal Travels,A/C Sleeper (2+1),23:15,10:15,11h 00m,INR 900,14 Seats available,"3.2
98",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
PSR Travels Goa,A/C Sleeper (2+1),23:00,09:30,10h 30m,INR 1099,3 Seats available,"3.5
104",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:30,08:00,12h 30m,INR 700,1 Seat available,"3.8
182",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 800,1 Seat available,"3.7
270",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
PVS Tours and Travels,A/C Seater Push Back (2+2),22:00,08:45,10h 45m,INR 3000,45 Seats available,3.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,A/C Sleeper (2+1),20:15,07:45,11h 30m,INR 911,9 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:50,07:00,11h 10m,INR 500,4 Seats available,3.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),20:30,09:00,12h 30m,INR 950,6 Seats available,"3.4
6",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Shivrameshwar Bane Tours & Travels,A/C Sleeper (2+1),23:40,10:15,10h 35m,INR 5000,30 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
VRL Travels,A/C Sleeper (2+1),23:30,09:45,10h 15m,INR 1100,3 Seats available,"2.7
60",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Hans Travels (I) Private Limited,A/C Sleeper (2+1),23:44,12:14,12h 30m,INR 1100,16 Seats available,"2.0
34",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
SAI BHAKTI HOLIDAYS,A/C Sleeper (2+1),21:10,07:45,10h 35m,INR 5000,30 Seats available,2.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kokan Holidays,NON A/C Seater Push Back (2+2),21:30,09:45,12h 15m,INR 3000,2 Seats available,"1.1
8",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,10:00,13h 00m,INR 1890,7 Seats available,"4.4
665",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 1760,6 Seats available,"4.1
449",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Amrutyog Travels,A/C Sleeper (2+1),20:00,07:22,11h 22m,INR 1777,4 Seats available,"4.2
319",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIntrCity SmartBus,AC Sleeper (2+1),19:35,05:30,09h 55m,INR 1559,3 Seats available,"4.2
359",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:55,06:45,10h 50m,INR 839,2 Seats available,"4.6
620",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
