Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,05:00,07h 00m,INR 3850,25 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,06:30,07h 00m,INR 3300,43 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,INR 1150,9 Seats available,"4.6
482",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:00,05:00,07h 00m,INR 1330,4 Seats available,"4.8
6",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:05,06h 10m,INR 979,6 Seats available,"4.7
103",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,06:45,06h 50m,INR 1062,4 Seats available,"4.3
371",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,942,7 Seats available,"4.7
225",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:05,06h 07m,999,3 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,05:40,06h 50m,INR 2179,3 Seats available,"4.8
92",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,05:30,06h 20m,INR 809,6 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:29,07:00,07h 31m,INR 3300,35 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
