Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
TGSRTC - 4172,Rajdhani (AC Semi Sleeper 2+2),18:30,22:30,04h 00m,INR 389,15 Seats available,"3.3
46",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64022,Rajdhani (AC Semi Sleeper 2+2),19:00,22:30,03h 30m,INR 389,19 Seats available,"3.1
22",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,INR 389,27 Seats available,"3.6
54",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 4166,Rajdhani (AC Semi Sleeper 2+2),22:00,03:00,05h 00m,INR 389,35 Seats available,"3.9
14",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8619,Rajdhani (AC Semi Sleeper 2+2),22:00,02:00,04h 00m,INR 389,18 Seats available,"3.7
72",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 6631,Super Luxury (Non AC Seater 2+2 Push Back),23:00,03:30,04h 30m,INR 320,11 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64008,RAJADHANI AC (CONVERTED METRO LUXURY),23:30,03:30,04h 00m,INR 389,10 Seats available,"3.9
69",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 7646,Super Luxury (Non AC Seater 2+2 Push Back),23:55,04:00,04h 05m,INR 320,2 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 1323,LAHARI A/C SLEEPER CUM SEATER,23:55,03:30,03h 35m,INR 389,4 Seats available,"2.9
47",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
APSRTC - 3828,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:40,03:55,04h 15m,INR 344,1 Seat available,4.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 560,12 Seats available,"4.5
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,621,7 Seats available,"4.5
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 550,8 Seats available,"3.5
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Seater / Sleeper (2+1),23:58,05:00,05h 02m,INR 650,10 Seats available,3.4,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,780,3 Seats available,"4.6
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 560,5 Seats available,"3.6
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 800,5 Seats available,"5.0
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,INR 650,7 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05:00,05h 01m,711,13 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,531,7 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,06:15,06h 16m,INR 600,3 Seats available,4.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
