Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,750.0,22 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,799.0,17 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:30,06:45,08h 15m,699.0,14 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,800.0,9 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,799.0,11 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,675.0,23 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,950.0,12 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdMMK Travels,A/C Sleeper (2+1),23:00,07:30,08h 30m,850.0,9 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DA Transports,A/C Sleeper (2+1),21:45,06:55,09h 10m,749.0,16 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,700.0,16 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,690.0,10 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,899.0,8 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,585.0,12 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,699.0,8 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SAAM BUS,VE A/C Sleeper (2+1),21:40,06:00,08h 20m,850.0,8 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,799.0,18 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
FAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,2429.0,34 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,700.0,18 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
National travels and logistics,NON A/C Sleeper (2+1),22:30,06:15,07h 45m,599.0,17 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,880.0,19 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,899.0,13 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08h 30m,799.0,8 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,700.0,21 Seats available,3.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,500.0,27 Seats available,2.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,500.0,22 Seats available,2.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,463.0,18 Seats available,2.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Perinchery Travels,Volvo A/C Seater (2+2),19:30,23:55,04h 25m,950.0,2 Seats available,4.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,600.0,1 Seat available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),22:10,02:40,04h 30m,900.0,1 Seat available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Galaxy Tours,Volvo A/C Semi Sleeper (2+2),22:30,02:45,04h 15m,700.0,24 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Blue Bird Travels,A/C Seater Push Back (2+2),21:40,01:59,04h 19m,899.0,2 Seats available,2.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Shajees Motors,A/C Semi Sleeper (2+2),22:30,03:05,04h 35m,650.0,1 Seat available,2.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
BLM Transports,A/C Sleeper (2+1),22:00,02:45,04h 45m,1611.0,1 Seat available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
